vertex_id	data_id	start_minute	end_minute	sex	role
1	122658	0	49	F	grade_11
2	129047	0	49	M	grade_11
3	129340	0	49	M	grade_11
4	119263	0	49	M	grade_12
5	122631	0	49	F	grade_12
6	144843	0	49	M	grade_11
7	1003	0	49	M	instructor
8	113433	0	49	M	grade_11
9	131642	0	49	M	grade_12
10	139722	0	49	F	grade_11
11	139195	0	49	F	grade_12
12	133105	0	49	M	grade_11
13	116749	0	49	M	grade_12
14	3	0	49	M	instructor
15	146757	0	49	F	grade_11
16	121402	0	49	M	grade_11
17	127265	0	49	F	grade_11
18	121829	0	49	F	grade_11
19	113140	0	49	M	grade_11
20	128065	0	49	F	grade_11

